Ciudad,Pista,Lugar,Dificultad
Rio de Janeiro,Cambio sus monedas a reales,Banco,Banco
Rio de Janeiro,Cambio sus monedas a reales,Banco,Medio
Rio de Janeiro,Cambio sus monedas a reales,Banco,Dificil
Rio de Janeiro,Al subir al avion se lo vio con una bandera verde y amarillo,Aeropuerto,Facil
Rio de Janeiro,Se pidió una caipirinha,Aeropuerto,Medio
Rio de Janeiro,Al subir al avión se la escucho hablar portugues,Aeropuerto,Dificil
Rio de Janeiro,Se la escucho decir que iba a invertir en la producción de cafe,Biblioteca,Facil
Rio de Janeiro,Se la escucho decir que iba a invertir en la mineria de titanio,Biblioteca,Medio
Rio de Janeiro,Ella quería ir a visitar a cristo a una de sus mas grandes obras,Biblioteca,Dificil
Buenos Aires, Cambio sus monedas a pesos argentinos,Banco,Facil
Buenos Aires, Cambio sus monedas a pesos,Banco,Medio
Buenos Aires, La escuche hablar sobre que su destino tenia una economía inestable ,Banco,Dificil
Buenos Aires, Al subir al avion se lo vio con una bandera celeste y blanca,Aeropuerto,Facil
Buenos Aires, Al subir al avión se la vio con una bandera con un símbolo de un sol,Aeropuerto,Medio
Buenos Aires, Al subir al avión se la escucho hablar espanol ,Aeropuerto,Dificil
Buenos Aires, Estaba buscando desesperadamente información sobre donde comprar yerba, Biblioteca,Facil
Buenos Aires,La escuche decir que iba a invertir en el ganado,Biblioteca,Medio
Buenos Aires,La escuche decir que iba a invertir en el ganado,Biblioteca,Dificil
Singapur,Buscaba un cuadro ,Biblioteca,Facil
Singapur,Buscaba un cuadro de arte malayo,Biblioteca,Medio
Singapur, Buscaba un cuadro de un arte poco conocido,Biblioteca,Dificil
Singapur,Llevaba consigo una bandera roja y azul,Puerto,Facil
Singapur,Llevaba consigo una bandera de la que solo pude distinguir el color rojo,Puerto,Medio
Singapur,Dijo que al llegar iba a comer un buen plato de mariscos,Puerto,Dificil
Singapur, Dijo que queria invertir en la producción de caucho,Biblioteca,Facil
Singapur,Dijo que queria invertir en la producción de caucho,Biblioteca,Medio
Singapur,Dijo que queria invertir en la producción de caucho,Biblioteca,Dificil
